nombre_completo,cargo,partido,pacto,comuna,distrito,circunscripcion,periodo_inicio,periodo_fin,foto_url,email,fuente
Cristóbal Juliá De La Vega,gobernador,Independiente,,,,Región de Coquimbo,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/consejero/98/16
Ximena Del Pilar Ampuero García,core,Frente Amplio,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Valeria Chacana Alarcón,core,Partido Comunista,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Lombardo Toledo Escorza,core,Partido Demócrata Cristiano,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Belén Auger Julien,core,Partido Republicano,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Francisco Corral Macías,core,Partido Republicano,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Pedro Alejandro Valencia Cortés,core,Partido Socialista de Chile,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
María Cristina Concha Wagenknecht,core,Renovación Nacional,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Paola Cortés Vega,core,Unión Demócrata Independiente,,,,Elqui,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Denis Cortés Vargas,core,Independiente,,,,Choapa,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Juan Hisi Espinoza,core,Independiente,,,,Choapa,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Ángel González Aguilera,core,Independiente,,,,Choapa,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Juan Manuel Barraza Astorga,core,Partido Por la Democracia,,,,Choapa,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Tatiana Alejandra Cortés Segovia,core,Partido Comunista,,,,Limarí,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Bernardo Chávez Araya,core,Partido Republicano,,,,Limarí,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Carlos Ramos García,core,Partido Socialista de Chile,,,,Limarí,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Max Aguirre Rojas,core,Renovación Nacional,,,,Limarí,2025-01-06,2029-01-06,,,https://acuerdos.corecoquimbo.cl/consejeros/lista
Daniel Manouchehri Lobos,diputado,Partido Socialista (PS),Unidad por Chile,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Manouchehri_Lobos
Carolina Tello Rojas,diputado,Frente Amplio (FA),Unidad por Chile,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Carolina_Tello_Rojas
Nathalie Castillo Rojas,diputado,Partido Comunista (PC),Unidad por Chile,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Nathalie_Castillo_Rojas
Bernardo Antonio Salinas Maya,diputado,"Independiente (cupo PC, lista Unidad por Chile)",Unidad por Chile,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Antonio_Salinas_Maya
Eileen Patricia Urqueta Rojas,diputado,Partido de la Gente (PDG),Partido de la Gente,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eileen_Patricia_Urqueta_Rojas
Marco Antonio Sulantay Olivares,diputado,Unión Demócrata Independiente (UDI),Chile Grande y Unido,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Sulantay_Olivares
Erich Christ Grohs Marín,diputado,Partido Nacional Libertario (PNL),Cambio por Chile,,Distrito 5,,2026-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Erich_Christ_Grohs_Mar%C3%ADn
Sergio Alfredo Gahona Salazar,senador,Unión Demócrata Independiente (UDI),,,,5ª Circunscripción Senatorial (Región de Coquimbo),2022-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Alfredo_Gahona_Salazar
Daniel Ignacio Núñez Arancibia,senador,Partido Comunista (PC),,,,5ª Circunscripción Senatorial (Región de Coquimbo),2022-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Daniel_Ignacio_N%C3%BA%C3%B1ez_Arancibia
Matías Walker Prieto,senador,Demócratas,,,,5ª Circunscripción Senatorial (Región de Coquimbo),2022-03-11,2030-03-11,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mat%C3%ADas_Walker_Prieto
Daniela Norambuena Borgheresi,alcalde,RN,Chile Vamos,la-serena,,,2024-12-06,2028-12-06,,,https://www.pauta.cl/dato-en-pauta/2024/10/27/resultados-de-las-elecciones-2024-de-alcalde-por-la-serena.html
Alí Manouchehri Moghadam Kashan Lobos,alcalde,Independiente,Contigo Chile Mejor,coquimbo,,,2024-12-06,2028-12-06,,,https://www.meganoticias.cl/nacional/463244-resultados-elecciones-municipales-2024-comuna-coquimbo-quien-gano-en-alcalde.html
Juan Carlos Alfaro Aravena,alcalde,PS,,andacollo,,,2024-12-06,2028-12-06,,,https://www.meganoticias.cl/nacional/463182-resultados-elecciones-municipales-2024-comuna-andacollo-quien-gano-en-alcalde.html
Uberlinda Aquea Barraza,alcalde,PS,,la-higuera,,,2024-12-06,2028-12-06,,,https://www.meganoticias.cl/nacional/463324-resultados-elecciones-municipales-2024-comuna-la-higuera-quien-gano-en-alcalde.html
Hernán Ahumada Ahumada,alcalde,RN,Chile Vamos,paihuano,,,2024-12-06,2028-12-06,,,https://www.elquiglobal.cl/hernan-ahumada-asumio-su-tercer-periodo-en-paihuano-junto-al-nuevo-concejo-municipal/
Mario Aros Carvajal,alcalde,Independiente,Chile Vamos,vicuna,,,2024-12-06,2028-12-06,,,https://laserenaonline.cl/2024/10/28/mario-aros-carvajal-es-alcalde-electo-de-vicuna/
