nombre_completo,cargo,comuna,confianza,notas
Cristóbal Juliá De La Vega,gobernador,,alta,"Electo en segunda vuelta el 24-11-2024 con 63.03% de los votos frente a Javier Vega (PC). Reemplazó al gobernador interino Darwin Ibacache (DC) que completaba el período 2021-2024 tras la destitución de Krist Naranjo. Fecha de término estimada (4 años), no confirmada con acta oficial. Pacto electoral no confirmado."
Ximena Del Pilar Ampuero García,core,,alta,Confirmado en fuente oficial y prensa (diarioeldia.cl).
Valeria Chacana Alarcón,core,,alta,Coincide en ambas fuentes.
Lombardo Toledo Escorza,core,,alta,Coincide en ambas fuentes.
Belén Auger Julien,core,,alta,Coincide en ambas fuentes.
Francisco Corral Macías,core,,alta,Coincide en ambas fuentes.
Pedro Alejandro Valencia Cortés,core,,alta,Coincide en ambas fuentes.
María Cristina Concha Wagenknecht,core,,alta,Coincide en ambas fuentes.
Paola Cortés Vega,core,,alta,Coincide en ambas fuentes.
Denis Cortés Vargas,core,,alta,Independiente en cupo/lista DC. Posible segundo nombre 'Enrique' no confirmado en fuente oficial.
Juan Hisi Espinoza,core,,alta,Independiente en cupo/lista DC.
Ángel González Aguilera,core,,alta,Independiente en cupo/lista RN.
Juan Manuel Barraza Astorga,core,,alta,Coincide en ambas fuentes.
Tatiana Alejandra Cortés Segovia,core,,alta,Coincide en ambas fuentes.
Bernardo Chávez Araya,core,,alta,Coincide en ambas fuentes.
Carlos Ramos García,core,,alta,Coincide en ambas fuentes.
Max Aguirre Rojas,core,,alta,Coincide en ambas fuentes.
Daniel Manouchehri Lobos,diputado,,alta,Reelecto; más votado del distrito (94.501 votos). Electo noviembre 2025.
Carolina Tello Rojas,diputado,,alta,Reelecta. Electa 2021 como PC; pasó a FA en 2024.
Nathalie Castillo Rojas,diputado,,alta,Reelecta. Electa noviembre 2025.
Bernardo Antonio Salinas Maya,diputado,,alta,Nuevo. Electo noviembre 2025.
Eileen Patricia Urqueta Rojas,diputado,,alta,"Nueva, 'sorpresa' de la elección 2025."
Marco Antonio Sulantay Olivares,diputado,,alta,Reelecto (diputado desde 2022).
Erich Christ Grohs Marín,diputado,,alta,Nuevo. Electo noviembre 2025.
Sergio Alfredo Gahona Salazar,senador,,alta,En ejercicio desde 2022. Coquimbo no tuvo elección senatorial en 2025 (próxima renovación 2029).
Daniel Ignacio Núñez Arancibia,senador,,alta,"En ejercicio desde 2022, pacto Apruebo Dignidad."
Matías Walker Prieto,senador,,alta,"En ejercicio desde 2022, electo como DC, fundó Demócratas en 2022."
Daniela Norambuena Borgheresi,alcalde,la-serena,alta,Ganó con 20.41% de los votos.
