Comuna,Inscritos,Votantes,participacion_pct
ALGARROBO,10776,6180.0,57.35
ALHUE,6676,3218.0,48.2
ALTO BIOBIO,4878,2951.0,60.5
ALTO DEL CARMEN,4990,3058.0,61.28
ALTO HOSPICIO,39080,13149.0,33.65
ANCUD,36301,17765.0,48.94
ANDACOLLO,11012,6273.0,56.97
ANGOL,44164,22345.0,50.6
ANTARTICA,367,26.0,7.08
ANTOFAGASTA,239540,76196.0,31.81
ANTUCO,4363,2579.0,59.11
ARAUCO,28409,15781.0,55.55
ARICA,155653,52971.0,34.03
AYSEN,20612,9432.0,45.76
BUIN,59078,29521.0,49.97
BULNES,19325,11559.0,59.81
CABILDO,17181,9477.0,55.16
CABO DE HORNOS,1778,797.0,44.83
CABRERO,22528,14081.0,62.5
CALAMA,116119,42656.0,36.73
CALBUCO,29136,12313.0,42.26
CALDERA,12618,6708.0,53.16
CALERA,42220,18423.0,43.64
CALERA DE TANGO,18706,10508.0,56.17
CALLE LARGA,10057,6150.0,61.15
CAMARONES,4839,2632.0,54.39
CAMIÑA,2963,1680.0,56.7
CANELA,8480,5313.0,62.65
CARAHUE,23674,13414.0,56.66
CARTAGENA,16330,9276.0,56.8
CASABLANCA,19756,11330.0,57.35
CASTRO,35801,14747.0,41.19
CATEMU,11298,6521.0,57.72
CAUQUENES,36337,21576.0,59.38
CAÑETE,27123,14002.0,51.62
CERRILLOS,66009,24616.0,37.29
CERRO NAVIA,115602,47411.0,41.01
CHAITEN,5488,2211.0,40.29
CHANCO,9119,6523.0,71.53
CHAÑARAL,11711,5412.0,46.21
CHEPICA,13042,8214.0,62.98
CHIGUAYANTE,59167,27755.0,46.91
CHILE CHICO,6058,2583.0,42.64
CHILLAN,139256,63033.0,45.26
CHILLAN VIEJO,17979,11189.0,62.23
CHIMBARONGO,27454,13741.0,50.05
CHOLCHOL,9218,6101.0,66.19
CHONCHI,11662,6884.0,59.03
CISNES,4042,2288.0,56.61
COBQUECURA,5332,3718.0,69.73
COCHAMO,4399,2257.0,51.31
COCHRANE,3045,1564.0,51.36
CODEGUA,10139,6380.0,62.93
COELEMU,14609,9769.0,66.87
COIHUECO,19881,11918.0,59.95
COINCO,6457,4220.0,65.36
COLBUN,16029,10095.0,62.98
COLCHANE,2841,1569.0,55.23
COLINA,66403,28426.0,42.81
COLLIPULLI,20860,10756.0,51.56
COLTAUCO,14097,7354.0,52.17
COMBARBALA,12043,6747.0,56.02
CONCEPCION,196876,74977.0,38.08
CONCHALI,119810,44921.0,37.49
CONCON,30629,16857.0,55.04
CONSTITUCION,37020,19709.0,53.24
CONTULMO,5645,3496.0,61.93
COPIAPO,108673,42121.0,38.76
COQUIMBO,138863,53720.0,38.69
CORONEL,81026,40208.0,49.62
CORRAL,5248,3194.0,60.86
COYHAIQUE,49891,17778.0,35.63
CUNCO,18872,8620.0,45.68
CURACAUTIN,20382,8514.0,41.77
CURACAVI,21969,12406.0,56.47
CURACO DE VELEZ,3376,2286.0,67.71
CURANILAHUE,29217,16084.0,55.05
CURARREHUE,7656,4591.0,59.97
