Comuna,Inscritos,Votos,participacion_pct
ALGARROBO,13779,7587.0,55.06
ALHUE,6153,3466.0,56.33
ALTO BIOBIO,5557,3277.0,58.97
ALTO DEL CARMEN,5202,2900.0,55.75
ALTO HOSPICIO,58683,19118.0,32.58
ANCUD,38845,15560.0,40.06
ANDACOLLO,11296,6096.0,53.97
ANGOL,47137,16187.0,34.34
ANTARTICA,243,4.0,1.65
ANTOFAGASTA,286950,105202.0,36.66
ANTUCO,4718,2549.0,54.03
ARAUCO,31158,13490.0,43.3
ARICA,180060,65647.0,36.46
AYSEN,22587,9462.0,41.89
BUIN,75333,34736.0,46.11
BULNES,20535,9044.0,44.04
CABILDO,18038,8424.0,46.7
CABO DE HORNOS(EX-NAVARINO),1939,877.0,45.23
CABRERO,25103,12261.0,48.84
CALAMA,132333,45833.0,34.63
CALBUCO,32409,13082.0,40.37
CALDERA,15024,7333.0,48.81
CALERA,44980,19477.0,43.3
CALERA DE TANGO,22305,11753.0,52.69
CALLE LARGA,11445,5864.0,51.24
CAMARONES,3392,1766.0,52.06
CAMIÑA,2802,1501.0,53.57
CANELA,9047,5357.0,59.21
CARAHUE,24697,10778.0,43.64
CARTAGENA,18227,8399.0,46.08
CASABLANCA,22469,10964.0,48.8
CASTRO,41394,15445.0,37.31
CATEMU,12182,5971.0,49.01
CAUQUENES,37610,14911.0,39.65
CAÑETE,29478,10027.0,34.02
CERRILLOS,67537,29263.0,43.33
CERRO NAVIA,115479,45041.0,39.0
CHAITEN,5169,2450.0,47.4
CHANCO,9488,5750.0,60.6
CHAÑARAL,12045,5431.0,45.09
CHEPICA,13750,6183.0,44.97
CHIGUAYANTE,67398,30698.0,45.55
CHILE CHICO,6456,2683.0,41.56
CHILLAN,152723,54946.0,35.98
CHILLAN VIEJO,22462,10023.0,44.62
CHIMBARONGO,30510,12568.0,41.19
CHOLCHOL,11095,6492.0,58.51
CHONCHI,13190,6540.0,49.58
CISNES,4569,2514.0,55.02
COBQUECURA,5884,4060.0,69.0
COCHAMO,4642,2116.0,45.58
COCHRANE,3384,1894.0,55.97
CODEGUA,11680,6804.0,58.25
COELEMU,15414,8702.0,56.46
COIHUECO,22169,8647.0,39.0
COINCO,7240,4333.0,59.85
COLBUN,18445,10161.0,55.09
COLCHANE,3463,1811.0,52.3
COLINA,90446,42132.0,46.58
COLLIPULLI,22160,8436.0,38.07
COLTAUCO,16168,8187.0,50.64
COMBARBALA,12550,5574.0,44.41
CONCEPCION,201066,80963.0,40.27
CONCHALI,118624,48752.0,41.1
CONCON,39439,22603.0,57.31
CONSTITUCION,40000,18364.0,45.91
CONTULMO,6052,3458.0,57.14
COPIAPO,123973,44894.0,36.21
COQUIMBO,167854,64742.0,38.57
CORONEL,89810,38380.0,42.73
CORRAL,5565,3257.0,58.53
COYHAIQUE,54229,19706.0,36.34
CUNCO,20001,7884.0,39.42
CURACAUTIN,21202,6551.0,30.9
CURACAVI,26345,13726.0,52.1
CURACO DE VELEZ,3797,2422.0,63.79
CURANILAHUE,30624,12638.0,41.27
CURARREHUE,8517,3876.0,45.51
CUREPTO,10310,5231.0,50.74
CURICO,117810,47309.0,40.16
DALCAHUE,12598,5691.0,45.17
DIEGO DE ALMAGRO,13390,5232.0,39.07
DOÑIHUE,18424,9850.0,53.46
EL BOSQUE,137677,53277.0,38.7
EL CARMEN,12500,6713.0,53.7
EL MONTE,27822,14009.0,50.35
EL QUISCO,13781,7909.0,57.39
EL TABO,11931,7107.0,59.57
EMPEDRADO,4621,3078.0,66.61
ERCILLA,8142,3665.0,45.01
ESTACION CENTRAL,127214,48496.0,38.12
FLORIDA,10451,4443.0,42.51
FREIRE,22845,8571.0,37.52
FREIRINA,6019,3163.0,52.55
FRESIA,12233,5752.0,47.02
FRUTILLAR,16778,7958.0,47.43
FUTALEUFU,3856,1644.0,42.63
FUTRONO,14637,5989.0,40.92
GALVARINO,12157,5984.0,49.22
GENERAL LAGOS,2006,752.0,37.49
GORBEA,15659,7241.0,46.24
GRANEROS,26877,13463.0,50.09
GUAITECAS,1744,990.0,56.77
HIJUELAS,15609,7389.0,47.34
HUALAIHUE,8692,4517.0,51.97
HUALAÑE,9784,5706.0,58.32
HUALPEN,77561,34696.0,44.73
HUALQUI,20524,9725.0,47.38
HUARA,9373,2624.0,28.0
HUASCO,8409,4514.0,53.68
HUECHURABA,73498,37237.0,50.66
ILLAPEL,27921,13232.0,47.39
INDEPENDENCIA,82629,31320.0,37.9
IQUIQUE,167552,62235.0,37.14
ISLA DE MAIPO,27965,13878.0,49.63
