Nro.Región,Región,Comuna,Inscritos,Votación,Participacion_pct
1,DE TARAPACA,ALTO HOSPICIO,60343,24569,40.715575957443285
1,DE TARAPACA,CAMIÑA,2639,883,33.45964380447139
1,DE TARAPACA,COLCHANE,3217,915,28.442648430214483
1,DE TARAPACA,HUARA,9045,1725,19.071310116086234
1,DE TARAPACA,IQUIQUE,167349,74543,44.54343916007864
1,DE TARAPACA,PICA,5663,2564,45.27635528871623
1,DE TARAPACA,POZO ALMONTE,11891,5155,43.35211504499201
2,DE ANTOFAGASTA,ANTOFAGASTA,289086,123689,42.78622970327169
2,DE ANTOFAGASTA,CALAMA,131956,58027,43.974506653733066
2,DE ANTOFAGASTA,MARIA ELENA,6173,1838,29.77482585452778
2,DE ANTOFAGASTA,MEJILLONES,10072,3909,38.810563939634626
2,DE ANTOFAGASTA,OLLAGUE,1663,372,22.369212266987372
2,DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,7279,3310,45.47327929660668
2,DE ANTOFAGASTA,SIERRA GORDA,2882,644,22.345593337959752
2,DE ANTOFAGASTA,TALTAL,10493,3651,34.7946249880873
2,DE ANTOFAGASTA,TOCOPILLA,22196,8398,37.835646062353575
3,DE ATACAMA,ALTO DEL CARMEN,5148,1964,38.15073815073815
3,DE ATACAMA,CALDERA,15266,7291,47.75972749901742
3,DE ATACAMA,CHAÑARAL,11980,4934,41.18530884808013
3,DE ATACAMA,COPIAPO,124441,56445,45.35884475373872
3,DE ATACAMA,DIEGO DE ALMAGRO,13101,4694,35.829326005648426
3,DE ATACAMA,FREIRINA,6051,2665,44.04230705668484
3,DE ATACAMA,HUASCO,8454,3913,46.285781878400755
3,DE ATACAMA,TIERRA AMARILLA,12649,5072,40.09803146493794
3,DE ATACAMA,VALLENAR,45689,20207,44.227275711878136
4,DE COQUIMBO,ANDACOLLO,11278,4700,41.67405568363185
4,DE COQUIMBO,CANELA,9203,3903,42.41008366836901
4,DE COQUIMBO,COMBARBALA,12522,5073,40.512697652132246
4,DE COQUIMBO,COQUIMBO,171212,72860,42.555428357825384
4,DE COQUIMBO,ILLAPEL,27992,12050,43.048013718205205
4,DE COQUIMBO,LA HIGUERA,4487,1787,39.826164475150435
4,DE COQUIMBO,LA SERENA,179322,83825,46.74551923355751
4,DE COQUIMBO,LOS VILOS,18641,7975,42.782039590150745
4,DE COQUIMBO,MONTE PATRIA,28145,10250,36.41854681115651
4,DE COQUIMBO,OVALLE,92330,37271,40.367161269359904
4,DE COQUIMBO,PAIHUANO,5295,2118,40.0
4,DE COQUIMBO,PUNITAQUI,10782,4132,38.323131144500096
4,DE COQUIMBO,RIO HURTADO,4933,1789,36.26596391648084
4,DE COQUIMBO,SALAMANCA,23633,9978,42.22062370414251
4,DE COQUIMBO,VICUÑA,23805,9304,39.08422600294056
5,DE VALPARAISO,ALGARROBO,14805,8217,55.5015197568389
5,DE VALPARAISO,CABILDO,18033,7887,43.73648311429047
5,DE VALPARAISO,CALERA,44870,21673,48.301760641854244
5,DE VALPARAISO,CALLE LARGA,11602,6439,55.49905188760559
5,DE VALPARAISO,CARTAGENA,18730,8833,47.159636946075814
5,DE VALPARAISO,CASABLANCA,22793,10970,48.12881147720792
