Comuna,Inscritos,Votación,participacion_pct
ALGARROBO,15981,14307,89.53
ALHUE,6068,5210,85.86
ALTO BIOBIO,5495,4761,86.64
ALTO DEL CARMEN,5004,4104,82.01
ALTO HOSPICIO,62738,52769,84.11
ANCUD,38560,32743,84.91
ANDACOLLO,11252,9905,88.03
ANGOL,46818,40533,86.58
ANTARTICA,171,56,32.75
ANTOFAGASTA,292250,243504,83.32
ANTUCO,4626,3697,79.92
ARAUCO,31364,28392,90.52
ARICA,182184,146440,80.38
AYSEN,22511,16602,73.75
BUIN,81379,74963,92.12
BULNES,20880,18355,87.91
CABILDO,17973,16210,90.19
CABO DE HORNOS(EX-NAVARINO),1715,1113,64.9
CABRERO,25802,23467,90.95
CALAMA,129544,104747,80.86
CALBUCO,33033,26728,80.91
CALDERA,15463,13287,85.93
CALERA,44771,39234,87.63
CALERA DE TANGO,22645,20734,91.56
CALLE LARGA,11918,10874,91.24
CAMARONES,2680,1882,70.22
CAMIÑA,2379,1655,69.57
CANELA,9317,7797,83.69
CARAHUE,24480,19744,80.65
CARTAGENA,19615,17309,88.24
CASABLANCA,23393,20954,89.57
CASTRO,42116,34340,81.54
CATEMU,12185,11128,91.33
CAUQUENES,37399,33107,88.52
CAÑETE,29680,25990,87.57
CERRILLOS,65350,57325,87.72
CERRO NAVIA,110843,98334,88.71
CHAITEN,4899,3191,65.14
CHANCO,9215,8295,90.02
CHAÑARAL,11619,9428,81.14
CHEPICA,13915,12925,92.89
CHIGUAYANTE,68393,62248,91.02
CHILE CHICO,6446,3474,53.89
CHILLAN,155891,138193,88.65
CHILLAN VIEJO,23173,21617,93.29
CHIMBARONGO,30987,28711,92.65
CHOLCHOL,11348,9719,85.65
CHONCHI,13663,11323,82.87
CISNES,4649,3599,77.41
COBQUECURA,5775,5088,88.1
COCHAMO,4650,3543,76.19
COCHRANE,3326,2314,69.57
CODEGUA,11746,10973,93.42
COELEMU,15157,13582,89.61
COIHUECO,23008,21058,91.52
COINCO,7439,6811,91.56
COLBUN,19137,17329,90.55
COLCHANE,2737,1817,66.39
COLINA,98425,88353,89.77
COLLIPULLI,22197,18926,85.26
COLTAUCO,16800,15631,93.04
COMBARBALA,12439,10244,82.35
CONCEPCION,201204,170605,84.79
CONCHALI,113797,97027,85.26
CONCON,42967,38617,89.88
CONSTITUCION,39929,36066,90.33
CONTULMO,6012,5023,83.55
COPIAPO,124525,106996,85.92
COQUIMBO,177759,156105,87.82
CORONEL,91428,80795,88.37
CORRAL,5545,4425,79.8
COYHAIQUE,54010,39810,73.71
CUNCO,20424,15090,73.88
CURACAUTIN,21469,14532,67.69
CURACAVI,28178,25764,91.43
CURACO DE VELEZ,3725,3031,81.37
CURANILAHUE,29792,25990,87.24
CURARREHUE,8678,6542,75.39
CUREPTO,10265,9062,88.28
CURICO,120244,110168,91.62
DALCAHUE,13142,11094,84.42
DIEGO DE ALMAGRO,12340,8762,71.0
DOÑIHUE,18815,17450,92.75
EL BOSQUE,133176,118757,89.17
EL CARMEN,12409,10916,87.97
EL MONTE,28625,26658,93.13
EL QUISCO,15611,13969,89.48
EL TABO,14168,12899,91.04
EMPEDRADO,4360,4004,91.83
ERCILLA,7871,6467,82.16
ESTACION CENTRAL,125410,97391,77.66
FLORIDA,10780,9797,90.88
FREIRE,23225,19876,85.58
FREIRINA,6075,5180,85.27
FRESIA,12336,10728,86.96
FRUTILLAR,18117,16100,88.87
FUTALEUFU,3940,2049,52.01
FUTRONO,15126,12605,83.33
GALVARINO,12017,10109,84.12
GENERAL LAGOS,1655,763,46.1
GORBEA,15621,12383,79.27
GRANEROS,27396,25251,92.17
GUAITECAS,1571,1112,70.78
HIJUELAS,15967,14757,92.42
HUALAIHUE,8911,7506,84.23
HUALAÑE,9802,8858,90.37
HUALPEN,76817,70002,91.13
HUALQUI,21028,18919,89.97
HUARA,8521,2960,34.74
HUASCO,8503,7199,84.66
HUECHURABA,75558,68338,90.44
ILLAPEL,28017,24045,85.82
INDEPENDENCIA,83884,63904,76.18
IQUIQUE,165165,131777,79.79
