Comuna,Inscritos,Votos,participacion_pct
ALGARROBO,17528,15405,87.89
ALHUE,6661,5841,87.69
ALTO BIOBIO,5763,5088,88.29
ALTO DEL CARMEN,4958,4274,86.2
ALTO HOSPICIO,68737,57407,83.52
ANCUD,38523,32346,83.97
ANDACOLLO,11308,9960,88.08
ANGOL,47121,40733,86.44
ANTARTICA,165,66,40.0
ANTOFAGASTA,303021,249260,82.26
ANTUCO,4747,3924,82.66
ARAUCO,31943,29047,90.93
ARICA,185158,147999,79.93
AYSEN,22747,17076,75.07
BUIN,86699,78620,90.68
BULNES,21242,18910,89.02
CABILDO,18011,16167,89.76
CABO DE HORNOS(EX-NAVARINO),1732,1205,69.57
CABRERO,26984,24584,91.11
CALAMA,132534,105836,79.86
CALBUCO,33442,27484,82.18
CALDERA,16260,13874,85.33
CALERA,44977,39118,86.97
CALERA DE TANGO,22904,20572,89.82
CALLE LARGA,12352,11227,90.89
CAMARONES,2746,2101,76.51
CAMIÑA,2979,2404,80.7
CANELA,9458,8080,85.43
CARAHUE,24101,19821,82.24
CARTAGENA,21890,19068,87.11
CASABLANCA,24730,22224,89.87
CASTRO,42558,34389,80.81
CATEMU,12411,11445,92.22
CAUQUENES,37966,33642,88.61
CAÑETE,30183,26274,87.05
CERRILLOS,65490,56292,85.96
CERRO NAVIA,108768,94761,87.12
CHAITEN,4872,3445,70.71
CHANCO,9399,8542,90.88
CHAÑARAL,11442,9396,82.12
CHEPICA,14196,13212,93.07
CHIGUAYANTE,69777,62083,88.97
CHILE CHICO,6343,3703,58.38
CHILLAN,158578,139111,87.72
CHILLAN VIEJO,24480,22402,91.51
CHIMBARONGO,31712,29386,92.67
CHOLCHOL,12395,10819,87.29
CHONCHI,13971,11714,83.85
CISNES,4848,3777,77.91
COBQUECURA,6021,5435,90.27
COCHAMO,4773,3774,79.07
COCHRANE,3435,2412,70.22
CODEGUA,12176,11435,93.91
COELEMU,15082,13523,89.66
COIHUECO,24209,22360,92.36
COINCO,7697,7045,91.53
COLBUN,20340,18159,89.28
COLCHANE,2744,2103,76.64
COLINA,106986,93489,87.38
COLLIPULLI,22126,19138,86.5
COLTAUCO,17605,16263,92.38
COMBARBALA,12346,10289,83.34
CONCEPCION,201508,166352,82.55
CONCHALI,111524,93252,83.62
CONCON,46527,40362,86.75
CONSTITUCION,40275,36100,89.63
CONTULMO,6093,5174,84.92
COPIAPO,127747,108685,85.08
COQUIMBO,189298,162550,85.87
CORONEL,94028,82916,88.18
CORRAL,5635,4579,81.26
COYHAIQUE,54210,39476,72.82
CUNCO,20645,15716,76.12
CURACAUTIN,20958,14699,70.14
CURACAVI,29806,26993,90.56
CURACO DE VELEZ,3731,3076,82.44
CURANILAHUE,29496,25777,87.39
CURARREHUE,9018,6945,77.01
CUREPTO,10149,9084,89.51
CURICO,125949,113229,89.9
DALCAHUE,13916,11837,85.06
DIEGO DE ALMAGRO,11568,8349,72.17
DOÑIHUE,19452,17836,91.69
EL BOSQUE,131787,115187,87.4
EL CARMEN,12717,11289,88.77
EL MONTE,29821,27489,92.18
EL QUISCO,17571,15373,87.49
