Nro.Región,Región,Comuna,Inscritos,Votación,Participacion_pct
2,DE ARICA Y PARINACOTA,ARICA,188577,153074,81.17
2,DE ARICA Y PARINACOTA,CAMARONES,2063,1467,71.11
2,DE ARICA Y PARINACOTA,GENERAL LAGOS,1338,634,47.38
2,DE ARICA Y PARINACOTA,PUTRE,3626,2169,59.82
3,DE TARAPACA,ALTO HOSPICIO,72210,61200,84.75
3,DE TARAPACA,CAMIÑA,2390,1730,72.38
3,DE TARAPACA,COLCHANE,2030,1223,60.25
3,DE TARAPACA,HUARA,3701,2726,73.66
3,DE TARAPACA,IQUIQUE,166841,131590,78.87
3,DE TARAPACA,PICA,6220,5233,84.13
3,DE TARAPACA,POZO ALMONTE,12727,10079,79.19
4,DE ANTOFAGASTA,ANTOFAGASTA,307083,255984,83.36
4,DE ANTOFAGASTA,CALAMA,134149,108783,81.09
4,DE ANTOFAGASTA,MARIA ELENA,5031,3261,64.82
4,DE ANTOFAGASTA,MEJILLONES,10906,9321,85.47
4,DE ANTOFAGASTA,OLLAGUE,1199,751,62.64
4,DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,8433,6722,79.71
4,DE ANTOFAGASTA,SIERRA GORDA,1530,1081,70.65
4,DE ANTOFAGASTA,TALTAL,10294,8260,80.24
4,DE ANTOFAGASTA,TOCOPILLA,21437,17152,80.01
5,DE ATACAMA,ALTO DEL CARMEN,4863,4863,100.0
5,DE ATACAMA,CALDERA,16526,14170,85.74
5,DE ATACAMA,CHAÑARAL,11346,9399,82.84
5,DE ATACAMA,COPIAPO,129887,111212,85.62
5,DE ATACAMA,DIEGO DE ALMAGRO,11361,8361,73.59
5,DE ATACAMA,FREIRINA,6479,5575,86.05
5,DE ATACAMA,HUASCO,8802,7405,84.13
5,DE ATACAMA,TIERRA AMARILLA,12480,10694,85.69
5,DE ATACAMA,VALLENAR,46527,39834,85.61
6,DE COQUIMBO,ANDACOLLO,11278,9905,87.83
